2025-06-11 16:16:24 2025-06-11 13:16:24,701 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [commit] got false for condition: [oldStatusId][not-equals][INVOICE_PAID][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,701 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| Running Service ECA Service: loadSalesInvoiceFact, triggered by rule on Service: setInvoiceStatus
2025-06-11 16:16:24 2025-06-11 13:16:24,701 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [return] got false for condition: [oldStatusId][equals][INVOICE_IN_PROCESS][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,702 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/setInvoiceStatus] finished in [18] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,704 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,705 |jsse-nio-8443-exec-6 |CommonPermissionServices      |I| Checking for alternate permission ACCOUNTING_ROLE_UPDATE
2025-06-11 16:16:24 2025-06-11 13:16:24,707 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,708 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgInvoicePermissionCheck] finished in [5] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,709 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| Running Service ECA Service: revertAcctgTransOnRemovePaymentApplications, triggered by rule on Service: removePaymentApplication
2025-06-11 16:16:24 2025-06-11 13:16:24,720 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,722 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [1] milliseconds
